Idade,Renda,Tempo_Cliente,Interacoes,Compra
67,10988,8,26,1
21,10499,7,18,1
25,9651,6,1,1
41,3508,5,44,1
28,2144,9,37,0
34,8828,4,30,1
67,13080,3,14,1
38,5664,6,25,0
43,12452,2,47,1
60,5645,9,9,1
65,6832,6,44,1
61,10601,3,35,1
62,14442,2,26,1
44,5266,9,10,1
33,10545,3,47,1
43,5130,6,10,1
50,10416,9,12,0
48,2191,3,47,1
65,10724,9,42,1
64,11108,2,8,0
23,12509,4,15,0
61,10439,3,48,1
25,11809,7,16,0
24,6921,4,40,0
51,13824,4,36,0
61,3025,1,0,1
31,4511,3,1,0
33,13831,5,18,0
60,6741,5,29,1
69,14461,4,45,1
26,9024,7,7,1
27,8872,4,3,1
34,4692,7,16,0
29,7499,6,7,0
23,14032,6,16,1
36,9159,5,17,1
60,14307,8,31,1
58,5628,9,39,0
46,7516,9,13,0
23,4483,6,44,0
42,12515,5,23,1
41,11130,1,25,0
42,2015,3,48,0
33,7157,8,1,1
69,7358,1,39,1
33,3583,1,42,0
23,6139,8,3,0
54,1927,7,24,0
38,10703,2,34,1
21,2737,6,26,0
51,7579,9,7,1
45,14632,8,25,0
55,4038,6,38,0
58,8219,2,23,0
45,7500,3,24,1
34,2721,3,19,1
31,3766,9,47,0
24,13894,9,41,1
39,12611,5,4,1
68,3825,5,5,0
18,13613,8,34,0
46,7670,3,28,0
69,11926,9,39,1
48,9410,5,42,0
47,9713,9,17,0
32,1404,9,26,0
35,6138,4,48,0
52,9771,2,44,1
67,14077,7,45,0
47,11046,1,9,1
51,7158,7,48,0
59,5421,1,48,0
28,4697,5,42,0
44,6066,1,16,1
41,11027,8,40,0
52,1157,1,33,0
56,4175,6,2,1
25,6911,1,17,0
68,10813,2,15,1
35,12869,4,1,1
30,8043,8,48,0
62,8921,3,35,1
41,1805,8,20,0
68,10497,7,30,1
40,11386,6,16,1
29,9705,1,49,0
66,8235,6,18,0
47,1503,6,16,0
48,8236,8,31,0
45,8726,6,9,1
39,6986,2,2,1
61,13700,3,37,0
45,6183,2,17,0
30,3639,3,27,0
42,9957,1,6,1
61,1236,7,47,0
68,5491,5,5,0
63,11196,9,44,0
24,6960,7,48,0
62,2799,1,9,1
23,4387,1,1,1
41,4999,2,19,0
36,2446,7,34,0
36,1131,7,18,0
53,7369,9,10,1
68,12867,3,41,1
26,6592,3,35,0
65,11226,8,5,0
53,5213,6,22,0
55,13925,3,10,1
57,11236,8,34,0
46,7059,3,28,0
41,13626,6,28,1
65,2458,1,15,1
22,6298,4,32,0
59,3022,6,16,0
62,2948,5,34,0
43,7605,4,48,0
31,10812,1,41,1
56,13963,4,36,1
46,13005,1,18,1
69,7861,4,19,1
23,8271,3,4,1
24,11353,7,2,1
54,8867,6,6,1
35,13593,6,47,1
40,10949,3,46,1
61,5718,6,24,0
55,5150,3,29,0
18,1523,7,42,0
21,3481,2,15,0
68,13477,9,8,1
61,5484,2,20,1
64,7810,1,43,0
52,8502,4,11,1
40,9537,8,13,0
44,3312,7,38,0
43,8015,6,1,0
69,8271,7,27,1
25,10890,4,23,1
60,1140,8,18,0
33,7892,4,13,1
58,13526,8,18,0
20,14741,5,37,1
49,8776,9,45,0
22,10313,7,22,0
37,3883,6,45,0
31,8628,2,15,1
49,14257,6,6,1
43,10226,1,16,1
64,13465,2,29,1
23,8461,5,7,1
53,10174,7,37,1
57,11636,1,38,0
68,4460,2,10,1
22,3584,4,38,1
30,5733,9,45,0
49,11505,8,28,0
33,10348,9,48,0
18,10769,4,0,0
30,12224,7,28,0
28,14412,3,9,1
25,7547,8,7,1
42,2307,7,30,0
57,13426,8,15,1
49,13356,9,5,1
41,3852,6,33,0
45,3224,4,37,1
31,4444,3,13,0
62,13832,3,30,0
20,2251,6,43,0
53,10863,8,44,0
44,2395,8,13,0
37,10206,8,15,0
64,5741,9,40,0
32,12406,1,19,1
44,1756,7,41,0
62,11223,9,21,1
58,8304,2,29,1
45,3620,4,41,0
42,14956,6,43,1
59,3429,4,43,0
61,13758,9,18,1
63,10423,1,15,1
50,8805,9,12,0
63,5024,1,44,0
31,1034,1,5,0
25,8433,5,31,0
65,12866,1,39,1
31,14263,9,46,1
18,1020,6,49,0
33,14451,9,21,1
35,3312,5,20,0
24,12663,6,26,0
32,1456,2,13,1
41,8287,9,36,1
66,8900,3,29,1
68,12189,5,11,1
30,5478,8,25,0
26,11774,5,7,1
32,2062,4,49,0
52,8920,4,8,1
41,8127,5,18,0
50,8189,3,49,0
33,10782,4,46,1
25,9094,5,25,1
46,11057,4,21,1
40,9238,3,25,0
62,5841,1,17,0
48,5634,2,35,1
57,14695,9,3,1
66,8649,2,41,0
31,6167,2,15,0
47,5774,5,36,0
56,6079,9,26,0
44,13180,3,31,1
64,8248,9,28,1
33,2653,4,44,0
68,1044,3,2,1
23,5370,5,3,1
50,4764,7,0,0
61,4032,7,9,0
35,12574,2,25,1
33,5327,7,24,0
29,1085,7,39,0
37,12368,2,38,1
62,13464,9,20,1
57,2613,8,14,1
46,7781,2,29,1
47,8227,6,26,1
43,4291,8,28,0
39,9779,9,49,0
50,9794,1,2,1
56,7781,7,15,1
64,4516,5,20,1
46,2256,9,42,0
39,11353,9,12,1
62,14819,3,24,1
30,13871,7,2,0
26,4035,3,21,0
41,11609,4,13,1
32,8516,8,45,1
53,12214,1,48,0
30,6286,4,26,1
44,11311,4,22,1
61,5955,3,4,1
54,11592,2,47,0
24,14322,8,1,1
25,10001,6,18,1
54,11980,2,26,0
58,1637,8,9,0
31,1152,8,25,0
29,14473,7,33,1
53,6909,8,1,1
69,11625,9,19,1
57,3738,3,48,0
34,1138,2,37,0
57,7239,7,39,1
46,1725,2,36,1
44,6700,3,33,1
18,14667,6,9,1
69,12734,9,4,1
51,3365,9,11,0
21,1018,2,16,0
41,10628,1,34,1
38,2961,6,33,0
50,11646,7,32,0
24,2851,8,21,0
18,8112,4,30,0
58,6521,7,21,0
20,10054,9,46,0
61,1100,1,3,1
68,9784,3,35,1
32,7838,5,38,0
48,14466,7,39,0
33,13116,5,4,1
27,8135,1,13,0
46,7029,1,16,1
23,14626,1,10,1
46,13653,8,46,1
34,3509,7,32,0
39,14472,3,28,1
41,2955,4,2,0
34,10846,8,5,1
38,8078,7,19,1
68,8543,7,10,0
67,13619,6,31,1
28,5780,9,30,0
24,10880,6,33,1
59,1910,1,7,0
56,7163,5,5,1
22,13833,8,15,1
61,8993,6,2,0
65,7715,5,39,0
38,7142,9,49,0
35,7605,7,28,1
52,2181,7,30,0
37,8531,1,39,0
32,12148,2,40,1
22,1604,5,5,0
30,6849,3,42,1
68,3370,8,27,0
29,11202,4,23,1
38,13327,7,13,1
54,14221,5,30,1
23,1202,6,25,0
24,14870,7,7,0
43,1242,8,23,0
59,10721,3,0,1
65,7231,3,9,1
25,4740,2,31,0
26,3721,6,42,0
44,7026,2,49,0
21,9851,1,49,0
38,9904,1,7,1
48,13087,9,18,1
38,10366,1,11,1
57,6219,7,14,1
42,9438,5,40,0
56,1730,6,36,0
32,13119,9,45,0
52,13135,3,49,0
66,2560,6,10,1
60,10176,7,44,1
58,9687,2,33,1
54,6408,6,16,1
59,7558,6,27,0
64,11854,5,13,1
45,11318,7,23,1
31,14696,9,43,1
21,3575,7,20,0
37,8508,2,37,1
51,2082,4,22,0
29,3753,1,6,0
50,14186,2,47,0
41,3958,9,26,1
37,9735,7,24,1
22,12255,8,31,0
55,7833,8,4,0
47,11094,2,7,1
41,5314,5,20,0
60,12363,1,31,1
57,6090,9,27,1
24,3150,5,2,0
53,7103,1,35,0
55,1883,7,28,1
33,3677,9,47,0
69,11994,1,24,1
32,6238,1,31,0
63,4975,1,20,0
40,1006,7,24,0
29,11627,3,3,1
46,8645,9,19,1
61,10737,9,16,1
65,14115,7,47,0
32,6400,3,41,1
46,3089,8,43,0
62,5191,6,1,1
60,6623,4,16,1
66,3293,8,34,0
38,8391,3,12,0
32,5209,1,43,0
31,11783,4,12,1
59,5425,9,33,1
61,12766,7,3,1
33,13232,1,34,1
32,4224,1,14,0
59,2240,1,26,1
21,13021,6,4,0
44,8517,9,9,0
40,4493,3,20,1
46,4590,3,23,0
58,9908,7,20,0
69,9455,6,33,1
26,7944,9,30,1
69,1317,3,40,0
60,3207,7,15,1
60,11716,7,26,1
24,1640,9,21,0
59,1858,6,3,0
21,5243,9,28,0
22,10662,6,9,0
22,10166,2,28,0
28,10477,6,39,1
58,9243,5,28,1
45,13545,6,27,1
33,2019,9,0,0
58,8900,6,1,1
47,12814,5,3,1
21,13535,5,8,0
19,11104,3,3,0
63,9479,5,39,1
20,6373,5,28,0
67,14234,3,28,1
38,7357,7,31,1
23,6211,8,44,1
60,13831,7,34,1
35,8772,2,19,0
61,5738,7,28,1
22,4901,1,16,0
26,8902,3,28,1
37,13300,4,19,1
45,5933,6,29,0
43,11772,9,31,1
35,12708,9,21,0
36,8670,6,41,1
20,2549,9,28,0
26,5934,6,42,0
53,3666,7,42,1
48,3453,6,22,0
66,14951,3,5,1
34,2567,1,14,0
40,4752,4,31,0
51,9479,1,15,1
58,3473,1,7,1
58,1435,5,22,1
22,10181,8,14,1
32,7224,1,48,0
64,12751,5,32,1
20,3405,8,10,0
36,9446,3,24,0
45,11201,6,39,0
20,2834,7,14,0
55,8042,8,8,0
21,13453,3,32,0
41,9656,1,12,1
48,5351,8,49,0
62,1422,4,24,1
62,13485,2,25,1
28,14524,1,26,1
54,13844,6,48,0
18,6933,1,10,0
26,11087,6,33,1
34,10480,8,33,0
18,7072,3,36,0
20,10540,6,36,0
64,1554,6,8,1
43,1006,5,43,0
48,2765,3,25,0
43,3091,6,2,0
40,12435,1,18,1
47,12365,4,34,0
27,5830,8,0,1
25,14891,6,9,0
61,2657,4,46,1
42,10003,6,23,1
39,7094,1,36,1
32,8463,3,35,0
58,10420,7,10,1
27,2962,1,41,0
37,1490,2,34,0
58,9509,3,32,1
64,14482,4,40,1
40,13505,6,28,1
18,9082,9,40,0
19,3548,1,33,0
36,11032,4,49,1
31,10408,4,39,1
25,9524,6,10,1
55,2176,1,0,1
29,7099,9,40,0
43,3600,1,2,0
44,4094,1,37,0
46,3263,3,40,1
32,2066,1,14,0
63,12624,4,25,0
18,6744,7,48,0
60,3790,9,47,1
45,8079,4,1,0
20,11653,6,9,0
68,12681,2,7,1
35,11861,7,4,0
69,2673,8,10,1
51,3363,3,11,0
49,13160,1,11,1
46,4723,2,29,0
42,4501,2,5,0
43,3814,6,0,0
56,7642,7,5,0
25,1348,5,19,0
36,3122,1,9,1
64,5133,5,41,0
59,12709,8,32,1
39,1211,2,45,0
46,4529,8,29,0
50,14961,6,3,1
55,14278,1,15,1
62,8737,9,45,0
63,14072,8,27,0
52,12828,5,30,1
60,7349,4,9,0
20,5100,1,0,1
36,14930,2,39,1
27,10458,5,40,0
44,1147,5,44,0
32,2709,8,37,0
28,4022,5,20,1
64,14634,5,27,1
43,4990,3,8,1
41,12656,7,20,1
30,14962,6,16,1
49,8854,5,6,1
54,4836,2,48,1
21,9183,4,18,1
30,12513,3,2,1
26,5523,7,17,0
66,1368,9,21,0
51,8144,3,9,1
54,13172,7,18,1
65,13935,9,46,1
24,2470,5,22,0
18,12285,8,3,1
29,3597,8,10,0
38,13826,7,18,0
28,12545,1,19,1
61,2302,5,19,0
68,14431,9,22,1
61,12516,9,25,0
61,2894,6,44,0
31,13254,8,7,1
51,3524,4,3,0
51,2088,9,13,0
42,6705,2,0,0
21,2326,2,14,0
69,8484,7,18,0
43,5269,4,26,1
33,8582,4,16,0
27,10475,2,26,0
62,4356,9,41,1
19,7216,2,15,0
52,2102,9,23,0
36,2067,5,12,0
23,1744,5,24,1
36,4074,7,49,0
69,3490,5,33,0
68,11318,6,5,1
25,8544,3,33,0
31,4764,3,13,1
27,7021,3,11,1
20,3862,1,36,0
55,12270,3,11,1
46,10074,4,21,1
32,6955,6,21,0
40,7868,4,45,1
40,3560,3,6,1
35,5791,8,30,0
63,4834,5,31,0
36,3774,3,18,1
45,9268,4,26,1
43,4114,4,28,0
27,12420,3,35,1
64,14531,9,16,1
21,6704,4,12,0
19,2012,8,29,0
20,5285,9,9,1
24,10066,7,46,0
33,5357,3,0,1
48,4556,1,38,0
27,3325,9,33,0
36,7957,4,21,0
45,10917,3,5,1
34,4988,7,29,0
45,3354,9,2,1
36,13159,7,20,1
54,11846,9,26,1
40,7693,7,28,0
37,12419,8,45,0
30,13587,8,46,0
30,3394,8,10,0
60,6542,2,12,0
28,5521,2,37,0
65,1041,2,19,0
32,13925,7,1,0
34,2848,8,27,0
67,11316,1,17,1
45,5191,8,30,0
36,8430,8,19,1
21,3866,5,44,0
39,14024,3,13,1
39,10838,1,49,1
54,7893,4,7,1
56,9396,7,25,0
51,14599,7,43,1
50,4334,5,20,1
61,4659,6,22,0
59,8079,9,5,1
57,1654,7,18,0
50,3362,2,25,0
29,10584,2,2,1
19,12860,2,1,1
45,9075,2,48,1
27,6371,5,6,1
39,6452,5,12,1
34,5839,8,13,0
43,8593,5,9,1
20,1284,8,28,0
24,10532,6,27,0
61,1511,4,19,0
25,12247,4,5,1
37,5124,3,20,1
29,13003,9,9,0
52,12557,5,6,1
34,4078,8,2,0
45,5637,4,11,0
58,11454,3,46,0
27,13914,6,18,1
39,13215,6,42,1
55,9406,6,26,1
50,14475,2,44,0
39,12433,6,16,0
61,11460,5,19,1
54,6119,5,10,0
30,4331,3,22,1
44,3308,5,26,0
32,2837,1,38,1
39,9010,1,29,1
47,6119,7,28,1
60,6736,7,36,0
57,1565,9,1,1
54,12883,9,0,1
51,8639,7,18,1
61,13090,9,24,1
51,9992,9,4,0
65,2278,3,25,1
52,10493,4,38,1
59,12822,1,24,1
36,13933,2,39,1
25,8191,8,34,0
56,6084,9,6,1
50,4504,9,1,0
61,10183,9,42,1
45,13916,1,26,1
54,11717,8,15,0
65,6613,5,32,1
42,11621,3,46,0
53,14106,6,19,1
34,7517,4,18,1
41,11792,1,38,1
38,7905,3,33,0
19,14634,2,4,1
48,12352,1,22,0
61,11331,9,46,0
50,1376,3,28,0
47,9142,1,3,1
29,2104,3,43,0
61,14953,1,21,1
29,7746,1,14,1
68,11339,9,29,1
66,10805,1,27,0
69,6674,5,41,1
41,6242,5,23,1
41,3847,1,46,0
28,12659,9,49,0
30,9214,5,29,1
44,3703,2,43,1
25,13203,7,12,1
27,5865,9,12,0
25,7662,4,11,0
37,4348,5,23,0
25,12961,9,30,1
26,10110,2,26,1
24,11171,5,45,1
31,1376,6,41,0
45,7434,3,25,0
19,10442,9,44,1
60,10388,8,20,0
25,10862,4,47,0
30,8620,5,13,1
38,12332,8,37,1
64,12544,1,35,1
45,12102,8,49,1
52,7485,6,9,1
40,14157,7,34,1
63,2356,4,13,0
32,2766,6,16,1
19,6505,4,1,1
68,10557,2,25,1
29,11556,1,16,1
69,13168,4,32,1
53,6426,7,47,0
20,4841,8,0,0
22,4244,3,41,0
20,1543,3,36,0
64,12463,5,47,1
36,12855,7,1,1
19,7047,4,13,0
61,9967,7,30,0
54,2620,2,43,0
34,5312,1,42,1
31,9723,6,27,1
45,13736,4,40,0
44,8828,7,17,1
27,1888,1,15,1
20,11105,1,10,0
53,13248,5,7,1
55,1392,1,34,0
42,10813,2,18,1
39,4457,3,47,0
65,8668,1,31,1
56,14458,8,7,1
64,3363,2,43,0
47,8354,2,45,0
38,10540,8,34,0
47,12052,7,11,1
45,1317,3,49,0
48,7537,5,44,1
69,13666,3,17,1
43,9896,5,31,0
60,14785,9,25,1
39,4771,3,37,0
38,10233,3,5,1
18,12066,1,12,1
54,5244,5,6,1
30,5653,3,35,1
38,7885,3,6,0
63,11701,4,47,1
26,5006,2,11,0
34,13002,2,34,0
64,12216,8,1,0
38,13982,3,2,1
48,5642,4,36,0
56,3127,2,20,0
39,5613,5,29,0
29,14950,9,26,1
23,14379,9,26,1
33,3749,8,10,1
43,9435,9,17,1
22,9200,9,6,1
26,4654,9,1,1
63,11885,2,25,1
57,10515,3,7,1
31,6439,4,23,0
61,11488,1,0,1
59,3370,6,47,0
47,3603,2,46,0
69,6747,4,31,0
69,4533,5,34,0
43,8565,4,17,0
62,9584,6,33,1
46,2251,6,36,0
36,3966,9,46,0
64,13856,9,6,1
25,13531,1,22,1
40,12320,8,16,1
59,10358,5,5,1
52,11758,1,9,1
48,8571,5,23,1
52,4007,6,42,0
49,8813,7,44,0
22,8206,3,27,1
33,9384,9,30,1
34,9518,3,35,0
49,5120,1,30,0
55,5197,3,32,1
49,9854,7,31,1
69,13504,1,10,1
37,5837,4,10,1
65,5025,7,3,1
19,13554,3,5,1
37,5257,7,31,1
64,5773,4,25,1
35,10077,7,31,0
18,4953,9,38,0
46,3294,5,41,0
46,7317,3,28,0
36,4467,1,4,1
61,2032,3,2,0
57,14196,4,47,1
23,2471,2,31,0
61,6113,4,40,1
56,6690,5,13,0
67,11836,8,23,1
63,7805,5,32,1
25,14632,2,33,1
41,5071,1,30,1
37,8739,9,49,0
31,2148,4,24,0
22,9232,9,8,0
58,7480,9,23,1
57,4756,1,37,1
51,12948,7,5,1
33,8408,6,36,0
62,12602,2,48,1
24,8261,4,48,0
33,12158,5,39,0
24,14374,5,13,0
44,14303,7,38,0
31,7663,2,19,1
31,4796,3,29,0
61,12472,2,6,0
50,4447,7,22,1
50,9276,7,40,0
61,13494,9,20,1
37,12610,4,1,1
64,8832,4,26,0
53,13448,6,29,0
24,13737,3,20,1
49,11355,3,37,1
65,5457,9,22,0
20,6370,7,34,1
56,12151,9,20,0
46,11422,2,37,1
41,11915,4,30,0
39,3639,8,49,0
23,10222,9,8,0
65,8687,3,19,1
41,14698,8,32,0
57,1930,8,44,0
40,14681,3,15,1
55,14859,8,31,1
27,14050,6,18,1
33,11851,9,17,1
28,2821,1,27,0
49,6902,9,22,1
62,14532,8,32,1
23,6827,8,8,0
41,4809,8,49,0
50,14910,7,19,1
68,10785,3,19,0
29,6531,6,15,0
44,10312,8,36,0
55,10873,8,15,1
35,2924,4,10,1
62,3440,8,33,0
56,13755,8,13,1
30,8013,1,21,0
57,4442,5,19,1
47,2207,7,38,0
66,10358,8,12,1
58,6582,9,4,1
69,14645,6,28,0
30,9253,5,44,0
51,9354,8,21,1
53,5647,6,41,1
47,8402,2,5,1
42,10275,9,26,0
19,14539,9,15,1
53,1238,1,14,0
35,11807,9,22,1
22,11985,5,46,0
36,4786,9,20,0
59,11232,5,35,1
35,12304,6,41,0
49,9629,9,8,1
38,9720,7,11,1
27,9296,4,42,1
54,13669,6,21,1
66,8260,8,22,1
39,10430,5,39,0
30,13168,4,48,1
34,11456,7,46,0
26,7632,3,31,1
41,9342,4,34,0
61,14685,7,39,0
31,2793,5,11,1
63,7956,1,10,1
25,9822,6,23,1
54,13709,9,25,1
36,13933,3,23,1
45,11159,4,11,1
63,9107,2,10,1
58,1206,3,38,0
47,3822,5,30,0
24,10025,6,5,1
43,12965,2,41,1
57,12933,2,37,1
63,2500,6,13,0
63,11827,1,45,1
28,7707,2,14,1
31,5321,4,17,0
38,9995,1,33,1
25,11049,5,6,1
20,7833,3,2,1
45,7249,1,41,1
46,4147,4,2,1
40,5611,1,10,0
35,2846,2,21,1
52,13474,7,10,1
30,9134,1,12,1
29,7418,6,13,0
64,4719,4,5,1
67,13226,6,13,1
22,11778,5,16,1
56,7094,6,42,0
28,13935,5,13,1
28,3065,2,0,1
64,5380,4,15,1
59,12171,7,7,0
64,13162,4,40,1
48,14301,5,18,1
48,12144,2,4,1
30,5745,3,37,0
31,9185,5,18,1
66,7400,4,10,0
62,10434,3,45,1
59,11883,2,39,1
42,11159,9,46,0
50,3404,2,8,1
50,1255,9,44,0
32,11847,4,41,0
33,14585,9,38,0
61,7477,9,42,0
55,11028,5,10,1
23,8535,7,10,1
61,7140,4,43,0
42,7158,4,10,0
32,1178,1,4,1
21,8612,9,30,0
21,8939,8,23,1
47,6522,9,32,0
51,5183,1,26,1
44,7237,2,2,0
48,5940,8,10,1
49,12658,8,49,0
61,1027,1,33,0
56,11936,5,8,1
69,9245,6,15,1
26,9512,5,10,0
58,4630,6,48,0
25,7903,7,2,1
31,12497,6,0,1
50,7773,3,0,0
40,14541,6,9,1
38,6921,9,46,1
29,13016,6,22,1
19,1331,6,7,0
30,2717,5,9,0
21,12735,1,31,1
37,1316,5,18,1
67,7244,1,48,1
68,4551,8,0,0
65,7098,1,28,1
31,12100,8,22,0
47,3917,4,36,1
46,8792,3,0,1
25,13508,4,11,1
29,10554,2,33,0
58,9339,3,3,1
55,8463,4,44,0
43,10924,9,8,1
67,8574,2,18,1
19,3628,3,29,0
57,5573,4,8,0
31,9048,3,46,0
23,13210,3,46,1
59,2209,9,2,1
57,1169,5,33,1
48,10759,9,47,0
34,5396,6,41,0
42,4435,8,5,1
49,2877,1,39,0
29,5052,8,39,0
66,4035,1,46,0
30,4248,9,20,0
36,4873,3,21,1
61,11383,9,30,1
65,9714,8,45,1
42,4552,7,36,1
48,6605,1,47,1
54,3706,7,33,0
42,3532,2,25,0
33,1821,2,24,1
55,4508,9,27,0
60,1194,9,15,0
66,1465,1,10,1
40,4025,7,23,0
31,12339,5,9,1
23,9145,6,46,0
42,3537,1,46,1
40,1099,6,24,1
60,9307,1,12,1
29,13667,4,13,0
30,6714,2,10,1
53,12063,2,46,0
56,11302,1,15,0
51,7275,7,17,0
23,10463,2,38,0
55,3690,7,45,0
67,2434,2,30,0
69,2902,7,26,0
57,4023,4,9,0
25,14739,9,31,1
25,8057,1,26,0
57,7813,3,9,0
50,11967,5,18,1
51,7062,7,38,0
61,3593,7,21,1
32,7518,6,5,1
53,5939,5,32,0
52,5393,5,8,1
63,8139,4,22,0
39,13583,9,31,1
40,12790,8,28,0
57,13402,9,10,0
62,13239,7,36,0
68,8224,5,48,0
39,3926,2,25,1
22,12405,4,42,0
48,7862,6,49,0
30,11858,8,49,0
45,7004,5,36,1
37,2826,9,39,0
50,7552,4,6,1
33,2025,6,14,1
46,1785,4,22,0
40,13322,6,33,1
41,2800,3,46,0
51,12481,8,0,1
24,6186,4,7,1
55,8236,7,25,0
54,9552,8,10,1
21,7601,9,31,0
51,13581,2,46,0
59,4397,3,49,0
39,2226,9,12,0
22,3640,7,46,0
67,6050,7,31,0
59,4649,4,12,1
40,6911,1,46,1
32,14233,8,49,0
48,13548,9,6,0
26,6637,4,36,0
60,4203,1,22,0
42,10992,9,6,0
42,12588,5,35,1
66,8235,6,27,1
38,8293,2,3,1
26,10608,5,3,1
65,13689,1,23,1
55,8850,3,21,1
39,9527,1,17,1
60,12201,1,43,0
40,8855,9,8,0
66,6938,6,40,1
21,2961,8,7,0
46,7947,5,1,1
32,1843,9,28,0
18,10832,4,20,1
47,5140,8,17,0
46,2124,6,16,0
37,14537,5,12,1
50,7562,5,19,1
58,5711,3,22,1
61,11501,4,13,1
53,1764,5,14,0
39,10892,9,48,0
30,11531,3,2,0
24,12919,5,20,1
25,6575,9,41,0
45,8403,1,44,0
62,5629,5,25,0
60,10284,4,9,1
26,2604,1,15,1
42,10461,1,43,0
33,13862,7,45,1
27,13524,6,2,1
28,12594,1,15,1
48,7506,4,22,0
29,1530,7,26,0
48,3790,6,16,0
31,11704,2,16,1
68,2252,9,32,0
61,4941,3,8,0
49,6628,2,3,0
67,11621,1,5,1
34,13414,3,19,0
52,9849,6,7,0
18,11056,1,1,1
46,6233,2,10,1
68,7386,9,33,0
21,10360,1,45,1
40,11792,1,3,1
45,6792,9,46,0
33,3486,3,17,1
29,11647,6,17,0
38,3843,3,17,0
62,8789,2,46,1
34,10922,3,35,1
57,13003,4,18,1
30,13234,1,46,0
69,4238,3,4,1
49,8700,7,31,0
54,6284,2,39,0
67,3689,7,4,1
32,12525,4,42,0
29,4332,7,29,0
66,2198,3,37,0
32,7954,7,44,0
51,8263,7,46,0
23,10572,3,15,0
34,14863,6,11,1
65,8050,9,1,1
66,6261,7,16,1
37,14057,5,28,1
26,10382,1,43,0
22,8870,8,21,0
40,2342,4,8,1
50,2654,2,15,1
55,5753,9,26,0
31,8136,3,36,1
34,6981,6,8,0
36,12598,3,17,1
50,10180,7,4,0
18,12737,2,11,0
30,12408,4,11,1
63,2077,9,40,0
44,1121,8,28,0
23,4195,8,13,0
23,3214,8,11,0
50,3991,7,13,1
47,10025,6,2,1
63,10870,8,6,1
52,3069,7,3,0
40,6395,1,1,0
27,11076,6,43,0
68,13248,8,33,1
36,2962,5,43,0
68,5023,6,40,0
45,9599,2,22,1
40,13769,2,32,1
21,7442,2,36,0
37,7420,6,21,1
36,3369,5,43,0
59,11354,6,26,1
44,3319,6,27,1
51,4239,4,46,1
21,8956,7,7,1
55,6555,9,38,0
24,2892,7,3,0
65,7407,6,20,0
24,11489,3,18,1
67,14773,6,38,1
69,4838,8,1,0
43,8509,8,30,0
43,2489,4,19,0
36,14369,5,41,0
26,11244,4,30,1
37,5009,2,2,0
59,11092,5,22,1
62,2821,1,7,1
67,12102,2,40,1
33,13552,7,9,1
34,2272,5,9,0
39,11078,8,10,1
30,11024,6,8,1
29,12058,8,15,1
27,9888,2,41,0
18,14768,8,49,1
49,5836,9,31,0
47,11556,8,18,1
25,14061,7,27,1
38,5214,8,28,0
39,2769,2,11,0
35,3841,6,17,1
19,11441,7,31,0
65,8941,9,22,1
61,12316,3,21,0
26,3364,6,4,0
20,12936,8,7,1
43,6363,4,35,1
38,2117,5,16,1
47,8447,2,6,1
45,12355,7,43,1
53,1812,8,43,0
43,1037,6,37,0
51,3460,9,29,1
25,5338,3,46,0
27,6483,9,28,0
65,4719,9,2,0
60,8231,9,34,1
67,10046,6,33,1
31,13138,9,26,1
57,11440,7,14,1
32,3354,8,7,1
34,5042,8,31,1
35,10989,8,7,0
49,1174,3,39,0
55,10904,6,8,0
40,12211,7,24,1
63,12255,4,14,1
40,7740,4,11,1
52,1671,7,2,0
56,1693,2,26,0
32,9739,8,27,1
41,6976,6,21,1
45,2122,9,22,0
33,4297,5,11,0
33,4986,1,1,0
57,3596,7,27,0
56,5368,4,15,1
23,4023,4,4,1
19,9975,3,47,0
30,10401,5,27,0
61,10131,6,35,0
64,13739,3,2,1
26,2528,8,11,1
51,1093,2,10,1
34,10522,7,28,0
44,10953,1,12,0
46,7660,9,8,1
54,6049,9,30,0
60,3221,5,22,0
39,3742,2,48,0
68,2096,6,1,1
41,9191,5,21,1
24,14456,4,18,1
51,6003,2,40,1
65,14975,5,28,1
29,3103,8,39,0
40,3742,2,47,1
32,5729,7,4,1
50,11483,3,5,1
30,5299,6,22,1
40,4662,4,40,0
55,9207,6,46,0
49,1125,2,4,1
62,6997,5,45,0
67,12614,2,43,0
52,6674,8,6,1
18,5174,9,26,0
64,12764,8,14,0
62,9980,1,33,0
22,6498,5,26,0
30,7407,4,5,1
22,3352,4,26,0
49,10703,7,19,0
68,7883,4,20,1
38,5220,1,49,0
41,13905,3,22,1
35,5837,8,1,1
38,12909,7,2,1
27,9272,2,8,1
41,8015,7,23,0
57,10836,2,9,1
64,1174,6,36,0
38,9867,8,24,0
42,9539,3,3,1
69,11104,3,3,1
40,10582,8,46,0
39,2558,8,6,0
21,2438,6,49,0
51,3925,1,16,1
23,7986,3,1,1
45,5819,7,18,0
48,6371,2,15,0
52,5703,9,41,0
56,12984,9,34,0
59,7712,2,22,0
40,7377,6,23,0
23,1357,2,15,0
33,4397,1,0,1
19,10280,9,21,1
41,1292,5,16,1
34,6443,1,43,0
62,10182,7,12,1
18,12594,3,18,1
23,3576,6,11,0
22,7278,4,18,0
62,1819,3,44,0
67,12682,6,27,0
46,5225,8,1,0
29,4620,6,25,0
56,8929,6,45,0
64,7712,5,41,1
20,12620,5,47,1
65,11699,1,5,1
18,5688,4,28,1
44,12181,8,38,1
65,2924,6,1,0
41,6751,7,0,1
